lat,lon,AQI,co,o3,pm2_5,no2,datetime
49.1335,-123.1233,2,680.92,1.08,10.22,68.55,2025-04-01 04:43:26
49.1839,-122.8186,2,634.19,0.07,11.83,55.52,2025-04-01 04:43:27
49.3473,-122.8309,2,574.11,7.96,13.04,58.26,2025-04-01 04:43:27
28.6131,77.2302,4,423.91,155.93,25.97,7.54,2025-04-01 04:43:27
28.4085,77.8628,5,397.21,180.24,28.68,6.26,2025-04-01 04:43:27
28.6907,76.943,4,440.6,143.05,27.29,7.11,2025-04-01 04:43:27
29.392,76.9792,3,397.21,133.04,24.52,6,2025-04-01 04:43:27
28.1961,76.8325,4,363.83,164.51,27,3.86,2025-04-01 04:43:27
49.2414,-123.1111,3,761.03,4.69,22.61,75.4,2025-04-01 04:43:27
49.1335,-123.1233,2,680.92,1.08,10.22,68.55,2025-04-01 04:43:27
49.1839,-122.8186,2,634.19,0.07,11.83,55.52,2025-04-01 04:43:28
49.3473,-122.8309,2,574.11,7.96,13.04,58.26,2025-04-01 04:43:28
28.6131,77.2302,4,423.91,155.93,25.97,7.54,2025-04-01 04:43:28
28.4085,77.8628,5,397.21,180.24,28.68,6.26,2025-04-01 04:43:28
28.6907,76.943,4,440.6,143.05,27.29,7.11,2025-04-01 04:43:28
29.392,76.9792,3,397.21,133.04,24.52,6,2025-04-01 04:43:28
28.1961,76.8325,4,363.83,164.51,27,3.86,2025-04-01 04:43:28
49.2414,-123.1111,3,761.03,4.69,22.61,75.4,2025-04-01 04:44:33
49.1335,-123.1233,2,680.92,1.08,10.22,68.55,2025-04-01 04:44:33
49.1839,-122.8186,2,634.19,0.07,11.83,55.52,2025-04-01 04:44:33
49.3473,-122.8309,2,574.11,7.96,13.04,58.26,2025-04-01 04:44:34
28.6131,77.2302,4,423.91,155.93,25.97,7.54,2025-04-01 04:44:34
28.4085,77.8628,5,397.21,180.24,28.68,6.26,2025-04-01 04:44:34
28.6907,76.943,4,440.6,143.05,27.29,7.11,2025-04-01 04:44:34
29.392,76.9792,3,397.21,133.04,24.52,6,2025-04-01 04:44:34
28.1961,76.8325,4,363.83,164.51,27,3.86,2025-04-01 04:44:34
49.2414,-123.1111,3,761.03,4.69,22.61,75.4,2025-04-01 04:44:34
49.1335,-123.1233,2,680.92,1.08,10.22,68.55,2025-04-01 04:44:34
49.1839,-122.8186,2,634.19,0.07,11.83,55.52,2025-04-01 04:44:35
49.3473,-122.8309,2,574.11,7.96,13.04,58.26,2025-04-01 04:44:35
28.6131,77.2302,4,423.91,155.93,25.97,7.54,2025-04-01 04:44:35
28.4085,77.8628,5,397.21,180.24,28.68,6.26,2025-04-01 04:44:35
28.6907,76.943,4,440.6,143.05,27.29,7.11,2025-04-01 04:44:35
29.392,76.9792,3,397.21,133.04,24.52,6,2025-04-01 04:44:35
28.1961,76.8325,4,363.83,164.51,27,3.86,2025-04-01 04:44:35
49.2414,-123.1111,3,761.03,4.69,22.61,75.4,2025-04-01 04:44:35
49.1335,-123.1233,2,680.92,1.08,10.22,68.55,2025-04-01 04:44:36
49.1839,-122.8186,2,634.19,0.07,11.83,55.52,2025-04-01 04:44:36
49.3473,-122.8309,2,574.11,7.96,13.04,58.26,2025-04-01 04:44:36
28.6131,77.2302,4,423.91,155.93,25.97,7.54,2025-04-01 04:44:36
28.4085,77.8628,5,397.21,180.24,28.68,6.26,2025-04-01 04:44:36
28.6907,76.943,4,440.6,143.05,27.29,7.11,2025-04-01 04:44:36
29.392,76.9792,3,397.21,133.04,24.52,6,2025-04-01 04:44:36
28.1961,76.8325,4,363.83,164.51,27,3.86,2025-04-01 04:44:36
49.2414,-123.1111,3,794.41,3.17,21.85,82.94,2025-04-01 05:52:30
49.1335,-123.1233,2,460.63,13.05,6.24,48.67,2025-04-01 05:52:30
49.1839,-122.8186,2,680.92,0.02,12.84,61.01,2025-04-01 05:52:31
49.3473,-122.8309,2,554.09,8.32,13.78,54.84,2025-04-01 05:52:31
28.6131,77.2302,3,634.19,131.61,33.26,19.02,2025-04-01 05:52:31
28.4085,77.8628,4,467.3,151.63,31.69,9.43,2025-04-01 05:52:31
28.6907,76.943,3,494,127.32,29.38,10.45,2025-04-01 05:52:32
29.392,76.9792,3,447.27,111.58,26.5,8.57,2025-04-01 05:52:32
28.1961,76.8325,4,447.27,141.62,29.96,9.68,2025-04-01 05:52:32
49.2414,-123.1111,3,761.03,7.78,20.24,80.2,2025-04-01 06:49:56
49.1335,-123.1233,1,340.46,40.05,3.92,28.79,2025-04-01 06:49:56
49.1839,-122.8186,2,714.3,0.1,12.81,64.43,2025-04-01 06:49:57
49.3473,-122.8309,2,547.41,7.96,15.1,54.84,2025-04-01 06:49:57
28.6131,77.2302,3,934.6,103,45.49,29.47,2025-04-01 06:49:57
28.4085,77.8628,3,607.49,117.3,38.84,13.2,2025-04-01 06:49:58
28.6907,76.943,3,587.46,108.72,32.57,13.54,2025-04-01 06:49:58
29.392,76.9792,3,507.36,87.98,29.48,11.65,2025-04-01 06:49:59
28.1961,76.8325,3,567.44,113.01,34.59,15.42,2025-04-01 06:49:59
